================ Wed Jul 24 11:56:49 EDT 2013 =========================
tgtd: [11:56:49.494273] work_timer_start(146) use timer_fd based scheduler
tgtd: [11:56:49.494661] bs_init(313) use signalfd notification
tgtd: [11:57:45.201252] caught signal 15, exiting
tgtd: [12:08:16.409089] conn_init(68) connection open, 0x231eb28
tgtd: [12:08:16.659558] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:08:19.413723] conn_init(68) connection open, 0x231eb28
tgtd: [12:08:19.664155] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:08:22.418220] conn_init(68) connection open, 0x231eb28
tgtd: [12:08:22.668758] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:08:25.422857] conn_init(68) connection open, 0x231eb28
tgtd: [12:08:25.673310] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:08:28.427367] conn_init(68) connection open, 0x231eb28
tgtd: [12:08:28.677829] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:08:31.431903] conn_init(68) connection open, 0x231eb28
tgtd: [12:08:31.682397] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:08:34.436592] conn_init(68) connection open, 0x231eb28
tgtd: [12:08:34.687080] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:08:37.441285] conn_init(68) connection open, 0x231eb28
tgtd: [12:08:37.691757] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:08:40.446052] conn_init(68) connection open, 0x231eb28
tgtd: [12:08:40.696554] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:08:43.450762] conn_init(68) connection open, 0x231eb28
tgtd: [12:08:43.701244] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:08:46.455386] conn_init(68) connection open, 0x231eb28
tgtd: [12:08:46.705868] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:08:49.460123] conn_init(68) connection open, 0x231eb28
tgtd: [12:08:49.710572] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:08:52.464820] conn_init(68) connection open, 0x231eb28
tgtd: [12:08:52.715334] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:08:55.469528] conn_init(68) connection open, 0x231eb28
tgtd: [12:08:55.720009] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:08:58.474197] conn_init(68) connection open, 0x231eb28
tgtd: [12:08:58.724690] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:09:01.478938] conn_init(68) connection open, 0x231eb28
tgtd: [12:09:01.729495] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:09:04.483656] conn_init(68) connection open, 0x231eb28
tgtd: [12:09:04.734570] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:09:07.488733] conn_init(68) connection open, 0x231eb28
tgtd: [12:09:07.739203] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:09:10.493406] conn_init(68) connection open, 0x231eb28
tgtd: [12:09:10.743977] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:09:13.498103] conn_init(68) connection open, 0x231eb28
tgtd: [12:09:13.748574] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:09:16.502666] conn_init(68) connection open, 0x231eb28
tgtd: [12:09:16.753185] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:09:19.507329] conn_init(68) connection open, 0x231eb28
tgtd: [12:09:19.757821] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:09:22.511935] conn_init(68) connection open, 0x231eb28
tgtd: [12:09:22.762488] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:09:25.516675] conn_init(68) connection open, 0x231eb28
tgtd: [12:09:25.767147] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:09:28.521288] conn_init(68) connection open, 0x231eb28
tgtd: [12:09:28.771758] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:09:31.525945] conn_init(68) connection open, 0x231eb28
tgtd: [12:09:31.776490] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:09:34.530659] conn_init(68) connection open, 0x231eb28
tgtd: [12:09:34.781140] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:09:37.535296] conn_init(68) connection open, 0x231eb28
tgtd: [12:09:37.785797] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:09:40.539915] conn_init(68) connection open, 0x231eb28
tgtd: [12:09:40.790431] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:09:43.544637] conn_init(68) connection open, 0x231eb28
tgtd: [12:09:43.795106] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:09:46.549308] conn_init(68) connection open, 0x231eb28
tgtd: [12:09:46.799787] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:09:49.553972] conn_init(68) connection open, 0x231eb28
tgtd: [12:09:49.804481] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:09:52.564020] conn_init(68) connection open, 0x231eb28
tgtd: [12:09:52.814626] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:09:55.574127] conn_init(68) connection open, 0x231eb28
tgtd: [12:09:55.824663] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:09:58.584168] conn_init(68) connection open, 0x231eb28
tgtd: [12:09:58.834699] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:10:01.594152] conn_init(68) connection open, 0x231eb28
tgtd: [12:10:01.844655] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:10:04.604140] conn_init(68) connection open, 0x231eb28
tgtd: [12:10:04.855098] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:10:07.609345] conn_init(68) connection open, 0x231eb28
tgtd: [12:10:07.859823] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:10:10.613996] conn_init(68) connection open, 0x231eb28
tgtd: [12:10:10.864577] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:10:13.618778] conn_init(68) connection open, 0x231eb28
tgtd: [12:10:13.869235] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:10:16.623345] conn_init(68) connection open, 0x231eb28
tgtd: [12:10:16.873821] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:10:19.628048] conn_init(68) connection open, 0x231eb28
tgtd: [12:10:19.878521] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:10:22.632776] conn_init(68) connection open, 0x231eb28
tgtd: [12:10:22.883352] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:10:25.637491] conn_init(68) connection open, 0x231eb28
tgtd: [12:10:25.888021] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:10:28.642185] conn_init(68) connection open, 0x231eb28
tgtd: [12:10:28.892674] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:10:31.646920] conn_init(68) connection open, 0x231eb28
tgtd: [12:10:31.897435] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:10:34.651613] conn_init(68) connection open, 0x231eb28
tgtd: [12:10:34.902112] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:10:37.656298] conn_init(68) connection open, 0x231eb28
tgtd: [12:10:37.906780] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:10:40.661029] conn_init(68) connection open, 0x231eb28
tgtd: [12:10:40.911533] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:10:43.665831] conn_init(68) connection open, 0x231eb28
tgtd: [12:10:43.916312] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:10:46.670491] conn_init(68) connection open, 0x231eb28
tgtd: [12:10:46.920989] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:10:49.675180] conn_init(68) connection open, 0x231eb28
tgtd: [12:10:49.925646] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:10:52.679938] conn_init(68) connection open, 0x231eb28
